col,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,Variance
day4_rep2,251760.2234623278,233066.71139264692,229425.63199327572,-26762.208139601542,43105.81516619199,-5549.0164793537215,-57858.073947517514,7625.672498885282,-1386.21918012848,661.8980620067937,1225.4694423283854,-3589.943084711195,4993.748632067228,1683.9300195541618,-1079.8498504474062,5111.596940292237,9635.05106172988,5366.947749174178,-2222.281881221064,-2.2538777204411655e-09,0.011735509956516938
day4_rep3,-99062.63100855782,145424.44310678556,222487.91418123225,-29126.520513414016,44029.663653765645,14740.460674961345,-32117.882862387134,-7073.1257088345665,-17124.81936811744,-9932.38041179999,-8687.304056674466,6006.300295965169,-9163.843564347937,-2403.9565110643307,-9165.340977304926,-1919.4995208492385,-773.3301071285763,-4381.168438939107,2063.3485630095724,6.04239446038514e-11,0.010628705324079371
day5_rep1,1266483.3792672106,367232.0609727763,-61622.32305835297,-126142.20743159806,67121.52803211063,21012.863130102895,82560.89467074686,-5771.086168954496,14297.017541256679,1778.2178831648341,-2794.335628904043,1190.964485822539,-1902.3768172471423,2130.3431724278134,-1455.1840066966806,2002.8198539768127,-768.3401071758794,23.865295688561854,453.3142009466692,-7.832749772366415e-09,0.010247242128312647
day5_rep2,-93589.02567995414,37080.613148292534,54060.99116361885,-36583.32952945994,-1728.7217042453651,34517.997301765245,67252.50872673166,22982.730236611795,-35786.03968605808,-4538.0958528422725,9162.979147658692,-3664.3127922455064,3073.484135087784,-4536.506058801988,3824.5326735169,-2938.8003780101976,1590.4167706981552,4.274244013473599,-710.9187282203955,8.909594181100622e-10,0.008102081526518739
day11_rep1,371491.2123428633,-418859.99253709323,-42069.462121059914,-53006.18474676985,-40227.929234059855,81876.94178388875,-27764.598227086273,-13230.391612331738,-9242.844897453799,7111.039816666565,-2348.9226362682916,-2686.1730698055167,-1507.327660761678,15335.910264429398,1764.4629177495524,-541.9904578015172,71.54609971964399,-462.0349726082869,1234.2793616019594,-5.955274615728357e-11,0.005173872760386623
day11_rep2,609080.3968788547,-377237.6400207733,127.76813428312323,310364.1955617333,134955.27747688655,-47912.48162362386,17095.853743941167,-836.5844035470326,-4338.155806792373,527.592766623744,-467.09664047987013,256.5208567978614,-182.65797204836673,1010.0276318078539,75.90086691425982,-14.285706687552556,83.07055917866032,-82.06928828538925,12.51751257263354,-1.773324653257997e-09,0.004369091418381128
day11_rep3,676057.2318002518,-433566.6870318286,-77411.34863679475,-27926.4168056245,-41915.394108739456,66618.12038611453,-34746.46388135885,12695.06665541243,13165.600135082917,-8123.7415995287165,2737.8555224606107,2119.7969338368594,1177.629858919046,-14323.255055282218,-1597.7525400560335,675.105716214057,-225.29764660582407,479.7418692494274,-1076.5113136693756,-1.5146334429896977e-09,0.004021883781016981
day18_rep1,299676.05110015604,297353.04066111275,-192111.87965289186,96504.18115014938,-100045.26847877697,-20578.575881528526,-25584.72327680271,-14284.474324513567,-6424.196643096265,14069.717053584865,13693.911069443902,7662.9830307600505,-8390.82523168757,96.95329496922777,-3168.5805812082726,-1125.4929222536173,-189.95493068623392,2786.4556251129156,1071.9095058699415,-1.647293546808517e-09,0.0029526644906937294
day18_rep2,133002.10681295043,256715.18867053627,-151240.82998712512,104096.38216743711,-94454.45930116254,-15257.050809824314,-11045.519298164303,5397.406566034159,2394.461299307145,-17633.21970398493,-6728.633702531738,-16504.47949743064,-6934.183766628761,689.2086530310651,1528.451273141821,-756.8707646840562,-357.8456712302733,-1266.5856227269353,-2964.9069703877544,-5.838923658403649e-10,0.0025603840984791686
day18_rep3,45137.90855917061,225640.9622997556,-129547.71620407648,86237.1102933179,-80080.37258729085,80.10688464950852,-4445.9718452920615,-18350.50637167895,-7462.485585135067,-4927.335964320745,-10587.735126263904,9581.592950336246,17382.745424799836,-495.7378590119822,2330.3450619615182,1376.4909650177572,-82.73275072346995,-1413.2353964896322,1614.300706573128,-1.140036970220172e-10,6.281247504764159e-29
